"","taphonomyValues","startAge","days"
"2",0.536831484534804,100,10
"3",0.548846135242289,100,10
"4",0.552361321062094,100,10
"5",0.522466910129448,100,10
"6",0.553323122952546,100,10
"7",0.557212264173507,100,10
"8",0.560053870772612,100,10
"9",0.530429948846145,100,10
"10",0.536464546517387,100,10
"11",0.543659766597135,100,10
"12",0.521703146503076,100,10
"13",0.569392389647226,100,10
"14",0.54379865708467,100,10
"15",0.54164317444702,100,10
"16",0.533542416788596,100,10
"17",0.548171874040834,100,10
"18",0.534797514886392,100,10
"19",0.553936636913486,100,10
"20",0.542329778692636,100,10
"21",0.538913898494923,100,10
"22",0.53252608774767,100,10
"23",0.56398885051617,100,10
"24",0.542215375832452,100,10
"25",0.568570644740759,100,10
"26",0.579696362009984,100,10
"27",0.557540510841837,100,10
"28",0.545943516684084,100,10
"29",0.566704512108851,100,10
"30",0.530583671591104,100,10
"31",0.540074126410508,100,10
"32",0.562129639808528,100,10
"33",0.527047176125566,100,10
"34",0.545185644390546,100,10
"35",0.58367451076666,100,10
"36",0.544176499138695,100,10
"37",0.549495925545556,100,10
"38",0.559591373763718,100,10
"39",0.534661123757291,100,10
"40",0.553689633052609,100,10
"41",0.520607268562104,100,10
"42",0.537743251113953,100,10
"43",0.544434674774188,100,10
"44",0.529690555887266,100,10
"45",0.550318500956235,100,10
"46",0.547329305873554,100,10
"47",0.561394378969814,100,10
"48",0.530486656628048,100,10
"49",0.53286874997919,100,10
"50",0.556902919846332,100,10
"51",0.531580518108674,100,10
"52",0.56603186676184,100,10
"53",0.553319562528978,100,10
"54",0.557885569662913,100,10
"55",0.540686212784571,100,10
"56",0.527901581413531,100,10
"57",0.536621091186242,100,10
"58",0.541380067516758,100,10
"59",0.535193951448393,100,10
"60",0.529855764670237,100,10
"61",0.541928574227995,100,10
"62",0.540386337139662,100,10
"63",0.519070641591758,100,10
"64",0.535399305639757,100,10
"65",0.564221864798763,100,10
"66",0.56197723690481,100,10
"67",0.554244214686806,100,10
"68",0.494274180932647,100,10
"69",0.522368886449932,100,10
"70",0.523171607172107,100,10
"71",0.566275114792958,100,10
"72",0.540967628600291,100,10
"73",0.536320894765882,100,10
"74",0.528821881442729,100,10
"75",0.536198651637857,100,10
"76",0.522164659521563,100,10
"77",0.510153690180982,100,10
"78",0.54867630295746,100,10
"79",0.532486960916713,100,10
"80",0.56874440136813,100,10
"81",0.5400410031832,100,10
"82",0.506262074156813,100,10
"83",0.52496210838642,100,10
"84",0.540884464350103,100,10
"85",0.540461979579749,100,10
"86",0.558364864412955,100,10
"87",0.537187569489342,100,10
