"","taphonomyValues","decayRate","startAge"
"2",0.505048027283335,5.5e-05,100
"3",0.502805196015685,5.5e-05,100
"4",0.501382060619614,5.5e-05,100
"5",0.500970861512057,5.5e-05,100
"6",0.497745337323975,5.5e-05,100
"7",0.495266383866526,5.5e-05,100
"8",0.494998624831565,5.5e-05,100
"9",0.503274588377928,5.5e-05,100
"10",0.501568247019673,5.5e-05,100
"11",0.501483018951962,5.5e-05,100
"12",0.505923243519404,5.5e-05,100
"13",0.500330064501668,5.5e-05,100
"14",0.502405652952412,5.5e-05,100
"15",0.502602730182038,5.5e-05,100
"16",0.514083235176749,5.5e-05,100
"17",0.506462009951659,5.5e-05,100
"18",0.500604531774697,5.5e-05,100
"19",0.504338047177681,5.5e-05,100
"20",0.50817488437549,5.5e-05,100
"21",0.501531961417193,5.5e-05,100
"22",0.503253019863587,5.5e-05,100
"23",0.502227833254668,5.5e-05,100
"24",0.502550742415353,5.5e-05,100
"25",0.497302110638253,5.5e-05,100
"26",0.500562474545457,5.5e-05,100
"27",0.502653023242223,5.5e-05,100
"28",0.496717299804004,5.5e-05,100
"29",0.501381081692013,5.5e-05,100
"30",0.500949954441153,5.5e-05,100
"31",0.496879080566111,5.5e-05,100
"32",0.506088018324542,5.5e-05,100
"33",0.501207522310791,5.5e-05,100
"34",0.501110356589344,5.5e-05,100
"35",0.497040799402823,5.5e-05,100
"36",0.496921942315178,5.5e-05,100
"37",0.501864971060244,5.5e-05,100
"38",0.494092826664335,5.5e-05,100
"39",0.496068438682245,5.5e-05,100
"40",0.500143879449822,5.5e-05,100
"41",0.507385799002703,5.5e-05,100
"42",0.497361361502412,5.5e-05,100
"43",0.498161109797926,5.5e-05,100
"44",0.511575316720064,5.5e-05,100
"45",0.493264878037647,5.5e-05,100
"46",0.512154657122714,5.5e-05,100
"47",0.509439232009669,5.5e-05,100
"48",0.498949912594327,5.5e-05,100
"49",0.501917357118579,5.5e-05,100
"50",0.499885262044699,5.5e-05,100
"51",0.511423591916475,5.5e-05,100
"52",0.509667835505193,5.5e-05,150
"53",0.520414652025948,5.5e-05,150
"54",0.504543538600525,5.5e-05,150
"55",0.506913369394351,5.5e-05,150
"56",0.509310784251164,5.5e-05,150
"57",0.505573608607584,5.5e-05,150
"58",0.504833227824081,5.5e-05,150
"59",0.500404533219868,5.5e-05,150
"60",0.508643822353411,5.5e-05,150
"61",0.507120244461463,5.5e-05,150
"62",0.516632691620227,5.5e-05,150
"63",0.502399244195036,5.5e-05,150
"64",0.496945715130788,5.5e-05,150
"65",0.498055371514862,5.5e-05,150
"66",0.497831749886842,5.5e-05,150
"67",0.497865024260813,5.5e-05,150
"68",0.503110627891193,5.5e-05,150
"69",0.493565054743361,5.5e-05,150
"70",0.50007718501858,5.5e-05,150
"71",0.505479509945293,5.5e-05,150
"72",0.502252198112523,5.5e-05,150
"73",0.509044099138856,5.5e-05,150
"74",0.496638721509411,5.5e-05,150
"75",0.507805296882221,5.5e-05,150
"76",0.504451938734938,5.5e-05,150
"77",0.509270415479446,5.5e-05,150
"78",0.510647771655591,5.5e-05,150
"79",0.504759414733575,5.5e-05,150
"80",0.515498548078181,5.5e-05,150
"81",0.50355951519564,5.5e-05,150
"82",0.505954793298575,5.5e-05,150
"83",0.501938240738032,5.5e-05,150
"84",0.510959499523887,5.5e-05,150
"85",0.513293644393918,5.5e-05,150
"86",0.505069891154134,5.5e-05,150
"87",0.506742147567828,5.5e-05,150
"88",0.49780058896712,5.5e-05,150
"89",0.505008511747769,5.5e-05,150
"90",0.496314988030147,5.5e-05,150
"91",0.504590363560302,5.5e-05,150
"92",0.5050960598381,5.5e-05,150
"93",0.50142734033358,5.5e-05,150
"94",0.505441912644397,5.5e-05,150
"95",0.496316192074834,5.5e-05,150
"96",0.510609250189766,5.5e-05,150
"97",0.503979669113632,5.5e-05,150
"98",0.505273936367246,5.5e-05,150
"99",0.499334261074898,5.5e-05,150
"100",0.49830440110903,5.5e-05,150
"101",0.513239087171162,5.5e-05,150
"102",0.502478468273238,5.5e-05,200
"103",0.508288001756782,5.5e-05,200
"104",0.5078309507992,5.5e-05,200
"105",0.5041506415917,5.5e-05,200
"106",0.489709107874054,5.5e-05,200
"107",0.497831823058755,5.5e-05,200
"108",0.501164175092861,5.5e-05,200
"109",0.508873392679235,5.5e-05,200
"110",0.506528091591523,5.5e-05,200
"111",0.509416359806655,5.5e-05,200
"112",0.501810471513327,5.5e-05,200
"113",0.512757365462687,5.5e-05,200
"114",0.505193972645904,5.5e-05,200
"115",0.516780341237059,5.5e-05,200
"116",0.502874870543457,5.5e-05,200
"117",0.505067933362025,5.5e-05,200
"118",0.506288973528671,5.5e-05,200
"119",0.516967910114006,5.5e-05,200
"120",0.507904963693349,5.5e-05,200
"121",0.507049504603804,5.5e-05,200
"122",0.506441529714473,5.5e-05,200
"123",0.495845892499233,5.5e-05,200
"124",0.503653358199082,5.5e-05,200
"125",0.505344896382859,5.5e-05,200
"126",0.511984803945098,5.5e-05,200
