"","taphonomyValues","decayRate","PerDay"
"2",0.514083215187405,5.479452e-05,0.0005479452
"3",0.513146092263213,5.479452e-05,0.0005479452
"4",0.514006527377949,5.479452e-05,0.0005479452
"5",0.513119605847653,5.479452e-05,0.0005479452
"6",0.513518745823871,5.479452e-05,0.0005479452
"7",0.513260182737179,5.479452e-05,0.0005479452
"8",0.513542864311537,5.479452e-05,0.0005479452
"9",0.514270374478507,5.479452e-05,0.0005479452
"10",0.514427112346786,5.479452e-05,0.0005479452
"11",0.512918811004835,5.479452e-05,0.0005479452
"12",0.51368629361599,5.479452e-05,0.0005479452
"13",0.512925136155489,5.479452e-05,0.0005479452
"14",0.513556814401466,5.479452e-05,0.0005479452
"15",0.513279597972105,5.479452e-05,0.0005479452
"16",0.513050346797512,5.479452e-05,0.0005479452
"17",0.514032441390123,5.479452e-05,0.0005479452
"18",0.512888748472723,5.479452e-05,0.0005479452
"19",0.512974558468906,5.479452e-05,0.0005479452
"20",0.513167147354281,5.479452e-05,0.0005479452
"21",0.513105567589358,5.479452e-05,0.0005479452
"22",0.513291152516402,5.479452e-05,0.0005479452
"23",0.51392997838195,5.479452e-05,0.0005479452
"24",0.513144377313193,5.479452e-05,0.0005479452
"25",0.513559312328368,5.479452e-05,0.0005479452
"26",0.51290595692364,5.479452e-05,0.0005479452
"27",0.5130132690299,5.479452e-05,0.0005479452
"28",0.513814658920233,5.479452e-05,0.0005479452
"29",0.5126445103777,5.479452e-05,0.0005479452
"30",0.513512780632173,5.479452e-05,0.0005479452
"31",0.51343457406188,5.479452e-05,0.0005479452
"32",0.512684007919329,5.479452e-05,0.0005479452
"33",0.513544558242494,5.479452e-05,0.0005479452
"34",0.513301280281649,5.479452e-05,0.0005479452
"35",0.513004382774117,5.479452e-05,0.0005479452
"36",0.513049327885881,5.479452e-05,0.0005479452
"37",0.513251522183302,5.479452e-05,0.0005479452
"38",0.512700876642464,5.479452e-05,0.0005479452
"39",0.513626032632058,5.479452e-05,0.0005479452
"40",0.513725871349962,5.479452e-05,0.0005479452
"41",0.513362498323047,5.479452e-05,0.0005479452
"42",0.513491562379985,5.479452e-05,0.0005479452
"43",0.51369121873264,5.479452e-05,0.0005479452
"44",0.512618579901978,5.479452e-05,0.0005479452
"45",0.513950069773201,5.479452e-05,0.0005479452
"46",0.513144577249414,5.479452e-05,0.0005479452
"47",0.513451694854611,5.479452e-05,0.0005479452
"48",0.513100265885136,5.479452e-05,0.0005479452
"49",0.513242335602025,5.479452e-05,0.0005479452
"50",0.513664953344383,5.479452e-05,0.0005479452
"51",0.512612622248028,5.479452e-05,0.0005479452
"52",0.513045137611939,5.479452e-05,0.0005479452
"53",0.513758887406245,5.479452e-05,0.0005479452
"54",0.513303174899884,5.479452e-05,0.0005479452
"55",0.512996236915285,5.479452e-05,0.0005479452
"56",0.512872825063595,5.479452e-05,0.0005479452
"57",0.512674929346474,5.479452e-05,0.0005479452
"58",0.512618759261452,5.479452e-05,0.0005479452
"59",0.512687970079573,5.479452e-05,0.0005479452
"60",0.513370472101859,5.479452e-05,0.0005479452
"61",0.513470694325914,5.479452e-05,0.0005479452
"62",0.513607003729392,5.479452e-05,0.0005479452
"63",0.513490121262558,5.479452e-05,0.0005479452
"64",0.512285281746365,5.479452e-05,0.0005479452
"65",0.513482868868008,5.479452e-05,0.0005479452
"66",0.512934160493187,5.479452e-05,0.0005479452
"67",0.513682626647756,5.479452e-05,0.0005479452
"68",0.513853423281065,5.479452e-05,0.0005479452
"69",0.512245179967571,5.479452e-05,0.0005479452
"70",0.512579895500254,5.479452e-05,0.0005479452
"71",0.513094975965549,5.479452e-05,0.0005479452
"72",0.514233486820766,5.479452e-05,0.0005479452
"73",0.512731906577878,5.479452e-05,0.0005479452
"74",0.513633397738421,5.479452e-05,0.0005479452
"75",0.513116801549532,5.479452e-05,0.0005479452
"76",0.513515776953473,5.479452e-05,0.0005479452
"77",0.51383892711222,5.479452e-05,0.0005479452
"78",0.512576289108777,5.479452e-05,0.0005479452
"79",0.514080164299926,5.479452e-05,0.0005479452
"80",0.512989773153391,5.479452e-05,0.0005479452
"81",0.513707892480056,5.479452e-05,0.0005479452
"82",0.513481120014949,5.479452e-05,0.0005479452
"83",0.513160973333074,5.479452e-05,0.0005479452
"84",0.512986702821913,5.479452e-05,0.0005479452
"85",0.513231711366824,5.479452e-05,0.0005479452
"86",0.513096631071162,5.479452e-05,0.0005479452
"87",0.512542593571679,5.479452e-05,0.0005479452
"88",0.513987692106864,5.479452e-05,0.0005479452
"89",0.514038599011808,5.479452e-05,0.0005479452
"90",0.513170267020085,5.479452e-05,0.0005479452
"91",0.513603834327,5.479452e-05,0.0005479452
"92",0.512773688237095,5.479452e-05,0.0005479452
"93",0.512526553708626,5.479452e-05,0.0005479452
"94",0.514265092019251,5.479452e-05,0.0005479452
"95",0.513379623601686,5.479452e-05,0.0005479452
"96",0.513516793687941,5.479452e-05,0.0005479452
"97",0.514369579768288,5.479452e-05,0.0005479452
"98",0.512596859713555,5.479452e-05,0.0005479452
"99",0.512810253240991,5.479452e-05,0.0005479452
"100",0.514175194966984,5.479452e-05,0.0005479452
"101",0.513309723067166,5.479452e-05,0.0005479452
"102",0.513407739272431,5.479452e-05,0.0005479452
"103",0.512902792014832,5.479452e-05,0.0005479452
"104",0.513071344169966,5.479452e-05,0.0005479452
"105",0.513372202721929,5.479452e-05,0.0005479452
"106",0.513604934077888,5.479452e-05,0.0005479452
"107",0.513398217910896,5.479452e-05,0.0005479452
"108",0.512088241129092,5.479452e-05,0.0005479452
"109",0.513926512606299,5.479452e-05,0.0005479452
"110",0.513206225094952,5.479452e-05,0.0005479452
"111",0.512607818476873,5.479452e-05,0.0005479452
"112",0.5130536723416,5.479452e-05,0.0005479452
"113",0.512431076312036,5.479452e-05,0.0005479452
"114",0.514129872671695,5.479452e-05,0.0005479452
"115",0.513788331279579,5.479452e-05,0.0005479452
"116",0.512624335754495,5.479452e-05,0.0005479452
"117",0.513306993683575,5.479452e-05,0.0005479452
"118",0.513501037771209,5.479452e-05,0.0005479452
"119",0.512982883737016,5.479452e-05,0.0005479452
"120",0.513097305142385,5.479452e-05,0.0005479452
"121",0.51379243146424,5.479452e-05,0.0005479452
"122",0.512636023754892,5.479452e-05,0.0005479452
"123",0.512950256286563,5.479452e-05,0.0005479452
"124",0.513994503944918,5.479452e-05,0.0005479452
"125",0.512997844258793,5.479452e-05,0.0005479452
"126",0.513123423982834,5.479452e-05,0.0005479452
"127",0.51262229089973,5.479452e-05,0.0005479452
"128",0.512744452083706,5.479452e-05,0.0005479452
"129",0.513322059829055,5.479452e-05,0.0005479452
"130",0.513479220511153,5.479452e-05,0.0005479452
"131",0.513290998666719,5.479452e-05,0.0005479452
"132",0.512925169632155,5.479452e-05,0.0005479452
"133",0.512953957699457,5.479452e-05,0.0005479452
"134",0.513190394953931,5.479452e-05,0.0005479452
"135",0.51329315238055,5.479452e-05,0.0005479452
"136",0.513369408909337,5.479452e-05,0.0005479452
"137",0.51255116827684,5.479452e-05,0.0005479452
"138",0.513509384290901,5.479452e-05,0.0005479452
"139",0.513036332731805,5.479452e-05,0.0005479452
"140",0.513242510950551,5.479452e-05,0.0005479452
"141",0.513513464999313,5.479452e-05,0.0005479452
"142",0.514142005404748,5.479452e-05,0.0005479452
"143",0.513263299914512,5.479452e-05,0.0005479452
"144",0.513497240491921,5.479452e-05,0.0005479452
"145",0.513567726749925,5.479452e-05,0.0005479452
"146",0.513123803195894,5.479452e-05,0.0005479452
"147",0.513053691209589,5.479452e-05,0.0005479452
"148",0.513490833604867,5.479452e-05,0.0005479452
"149",0.513266348909254,5.479452e-05,0.0005479452
"150",0.512907819029076,5.479452e-05,0.0005479452
"151",0.5135644666356,5.479452e-05,0.0005479452
"152",0.513636360877885,5.479452e-05,0.0005479452
"153",0.513845704618924,5.479452e-05,0.0005479452
"154",0.512877912718045,5.479452e-05,0.0005479452
"155",0.513245842002722,5.479452e-05,0.0005479452
"156",0.513290767695671,5.479452e-05,0.0005479452
"157",0.513144207993809,5.479452e-05,0.0005479452
"158",0.513069451728607,5.479452e-05,0.0005479452
"159",0.514011036788539,5.479452e-05,0.0005479452
"160",0.513567704651568,5.479452e-05,0.0005479452
"161",0.512627976826232,5.479452e-05,0.0005479452
"162",0.514151014649603,5.479452e-05,0.0005479452
"163",0.512611756718444,5.479452e-05,0.0005479452
"164",0.513090169958458,5.479452e-05,0.0005479452
"165",0.513510193930691,5.479452e-05,0.0005479452
"166",0.512899978231894,5.479452e-05,0.0005479452
"167",0.512744443682137,5.479452e-05,0.0005479452
"168",0.513286746383597,5.479452e-05,0.0005479452
"169",0.513146613877158,5.479452e-05,0.0005479452
"170",0.514652455419007,5.479452e-05,0.0005479452
"171",0.512675689129419,5.479452e-05,0.0005479452
"172",0.513274396757303,5.479452e-05,0.0005479452
"173",0.512178464130322,5.479452e-05,0.0005479452
"174",0.512781939558445,5.479452e-05,0.0005479452
"175",0.513310365911722,5.479452e-05,0.0005479452
"176",0.513135311824869,5.479452e-05,0.0005479452
"177",0.513488425498457,5.479452e-05,0.0005479452
"178",0.514100369891457,5.479452e-05,0.0005479452
"179",0.514491035070652,5.479452e-05,0.0005479452
"180",0.512417923293255,5.479452e-05,0.0005479452
"181",0.512599210530158,5.479452e-05,0.0005479452
"182",0.513811597246692,5.479452e-05,0.0005479452
"183",0.513260114393881,5.479452e-05,0.0005479452
"184",0.513098023920372,5.479452e-05,0.0005479452
"185",0.513695476915527,5.479452e-05,0.0005479452
