"","startAges","decayLevels","states","decayRates","decayRateRounded"
"33158",500,1,1,0.01514355186373,0.015
"33159",500,1,0,0.00378090632148087,0.004
"33160",500,1,0,0.00936130899935961,0.009
"33161",500,1,0,0.00824551843106747,0.008
"33162",500,1,1,0.00467766216024756,0.005
"33163",500,1,1,0.0134740574285388,0.013
"33164",500,1,1,0.0184213761240244,0.018
"33165",500,1,0,0.00549919810146093,0.005
"33166",500,1,1,0.00945096556097269,0.009
"33167",500,1,0,0.0193371884524822,0.019
"33168",500,1,1,0.00370521261356771,0.004
"33169",500,1,1,0.0127789471298456,0.013
"33170",500,1,0,0.00681962119415402,0.007
"33171",500,1,0,0.00685590505599976,0.007
"33172",500,1,1,0.0076140365563333,0.008
"33173",500,1,1,0.00535264378413558,0.005
"33174",500,1,1,0.0198351964354515,0.02
"33175",500,1,1,0.00968387629836798,0.01
"33176",500,1,0,0.000122956145787612,0
"33177",500,1,1,0.00257755303755403,0.003
"33178",500,1,1,0.015581052750349,0.016
"33179",500,1,1,0.0171778574585915,0.017
"33180",500,1,0,0.0182136800140142,0.018
"33181",500,1,1,0.0143733210861683,0.014
"33182",500,1,0,0.0196899548172951,0.02
"33183",500,1,0,0.0158244948834181,0.016
"33184",500,1,1,0.01314452663064,0.013
"33185",500,1,0,0.0181372985243797,0.018
"33186",500,1,0,0.00615258468315005,0.006
"33187",500,1,1,0.00125949876382947,0.001
"33188",500,1,1,0.0124766090884805,0.012
"33189",500,1,1,0.0120198186486959,0.012
"33190",500,1,0,0.00809753779321909,0.008
"33191",500,1,0,0.00189492665231228,0.002
"33192",500,1,1,0.0125711848959327,0.013
"33193",500,1,0,0.0118840262293816,0.012
"33194",500,1,1,0.00215712818317115,0.002
"33195",500,1,0,0.0119775226339698,0.012
"33196",500,1,0,0.0194499064236879,0.019
"33197",500,1,1,0.0155765367671847,0.016
"33198",500,1,1,0.0110235176980495,0.011
"33199",500,1,0,0.0107597783207893,0.011
"33200",500,1,0,0.017428956925869,0.017
"33201",500,1,1,0.0160782895982265,0.016
"33202",500,1,0,0.0148447994142771,0.015
"33203",500,1,1,0.00672370614483953,0.007
"33204",500,1,0,0.00598583091050386,0.006
"33205",500,1,0,0.000396407616790384,0
"33206",500,1,0,0.00375533662736416,0.004
"33207",500,1,0,0.0140340523794293,0.014
"33208",500,1,0,0.00350898201577365,0.004
"33209",500,1,0,0.00649859989061952,0.006
"33210",500,1,1,0.00192174839321524,0.002
"33211",500,1,1,0.0127681083977222,0.013
"33212",500,1,0,0.00415703561156988,0.004
"33213",500,1,0,0.0126204276457429,0.013
"33214",500,1,1,0.00249656895175576,0.002
"33215",500,1,1,0.013447342440486,0.013
"33216",500,1,0,0.00737306894734502,0.007
"33217",500,1,0,0.00568338157609105,0.006
"33218",500,1,0,0.012385617941618,0.012
"33219",500,1,1,0.0189271215349436,0.019
"33220",500,1,1,0.0118920300155878,0.012
"33221",500,1,1,0.00975526683032513,0.01
"33222",500,1,0,0.015163479372859,0.015
"33223",500,1,0,0.0191920548677444,0.019
"33224",500,1,1,0.00981887057423592,0.01
"33225",500,1,0,0.00715998420491815,0.007
"33226",500,1,0,0.00020349099941086,0
"33227",500,1,0,0.00490723410621285,0.005
"33228",500,1,1,0.0192147549241781,0.019
"33229",500,1,0,0.00447517726570368,0.004
"33230",500,1,1,0.00371651398018003,0.004
"33231",500,1,1,0.0129940696060658,0.013
"33232",500,1,0,0.00396659784018993,0.004
"33233",500,1,1,0.00857378542423248,0.009
"33234",500,1,1,0.0136726768687367,0.014
"33235",500,1,1,0.0139790121465921,0.014
"33236",500,1,1,0.00846216082572937,0.008
"33237",500,1,1,0.00414034258574247,0.004
"33238",500,1,1,0.00135528901591897,0.001
"33239",500,1,1,0.00401263311505318,0.004
"33240",500,1,1,0.0178395006805658,0.018
"33241",500,1,1,0.0166181623935699,0.017
"33242",500,1,1,0.00325854308903217,0.003
"33243",500,1,0,0.0129341166466475,0.013
"33244",500,1,1,0.00508394092321396,0.005
"33245",500,1,1,0.014608702622354,0.015
"33246",500,1,0,0.0192298907786608,0.019
"33247",500,1,1,0.0193007122725248,0.019
"33248",500,1,1,0.00823491625487804,0.008
"33249",500,1,0,0.0137951830402017,0.014
"33250",500,1,0,0.0010618285741657,0.001
"33251",500,1,0,0.0141143584623933,0.014
"33252",500,1,0,0.0163527820259333,0.016
"33253",500,1,1,0.0114353131502867,0.011
"33254",500,1,0,0.00746085261926055,0.007
"33255",500,1,1,0.00743202771991491,0.007
"33256",500,1,1,3.57921308022924e-05,0
"33257",500,1,0,0.00679474929347634,0.007
"33258",500,1,1,0.00457262014970183,0.005
"33259",500,1,0,0.00569980358704925,0.006
"33260",500,1,1,0.0073541565798223,0.007
"33261",500,1,0,0.00632498180493712,0.006
"33262",500,1,1,0.00561687303707004,0.006
"33263",500,1,1,0.0150469020009041,0.015
"33264",500,1,0,0.0111361518502235,0.011
"33265",500,1,1,0.00822392851114273,0.008
"33266",500,1,0,0.00516245467588305,0.005
"33267",500,1,1,0.00596774462610483,0.006
"33268",500,1,0,0.0187805686146021,0.019
"33269",500,1,1,0.00970713328570127,0.01
"33270",500,1,1,0.0106202736496925,0.011
"33271",500,1,0,0.0083007700741291,0.008
"33272",500,1,0,0.00578631227836013,0.006
